Feature,Missing_Count,Missing_Pct,Tier
id_24,585793,99.19615944728554,Tier 5: > 80%
id_25,585408,99.13096487960172,Tier 5: > 80%
id_08,585385,99.12707013919464,Tier 5: > 80%
id_07,585385,99.12707013919464,Tier 5: > 80%
id_21,585381,99.12639279303687,Tier 5: > 80%
id_26,585377,99.12571544687913,Tier 5: > 80%
id_23,585371,99.1246994276425,Tier 5: > 80%
id_22,585371,99.1246994276425,Tier 5: > 80%
id_27,585371,99.1246994276425,Tier 5: > 80%
dist2,552913,93.62837403054831,Tier 5: > 80%
D7,551623,93.40992989467267,Tier 5: > 80%
id_18,545427,92.36072069631184,Tier 5: > 80%
D13,528588,89.50926270870728,Tier 5: > 80%
D14,528353,89.46946862193924,Tier 5: > 80%
D12,525823,89.04104717715988,Tier 5: > 80%
id_03,524216,88.76892335828225,Tier 5: > 80%
id_04,524216,88.76892335828225,Tier 5: > 80%
D6,517353,87.60676668811597,Tier 5: > 80%
id_33,517251,87.58949436109323,Tier 5: > 80%
id_10,515614,87.31229044603245,Tier 5: > 80%
id_09,515614,87.31229044603245,Tier 5: > 80%
D9,515614,87.31229044603245,Tier 5: > 80%
D8,515614,87.31229044603245,Tier 5: > 80%
id_30,512975,86.8654113184543,Tier 5: > 80%
id_32,512954,86.86185525112609,Tier 5: > 80%
id_34,512735,86.82477054898906,Tier 5: > 80%
id_14,510496,86.4456260371863,Tier 5: > 80%
V142,508595,86.12371727571374,Tier 5: > 80%
V140,508595,86.12371727571374,Tier 5: > 80%
V139,508595,86.12371727571374,Tier 5: > 80%
V138,508595,86.12371727571374,Tier 5: > 80%
V141,508595,86.12371727571374,Tier 5: > 80%
V163,508595,86.12371727571374,Tier 5: > 80%
V146,508595,86.12371727571374,Tier 5: > 80%
V147,508595,86.12371727571374,Tier 5: > 80%
V149,508595,86.12371727571374,Tier 5: > 80%
V153,508595,86.12371727571374,Tier 5: > 80%
V155,508595,86.12371727571374,Tier 5: > 80%
V156,508595,86.12371727571374,Tier 5: > 80%
V157,508595,86.12371727571374,Tier 5: > 80%
V158,508595,86.12371727571374,Tier 5: > 80%
V161,508595,86.12371727571374,Tier 5: > 80%
V162,508595,86.12371727571374,Tier 5: > 80%
V148,508595,86.12371727571374,Tier 5: > 80%
V154,508595,86.12371727571374,Tier 5: > 80%
V165,508589,86.12270125647711,Tier 5: > 80%
V143,508589,86.12270125647711,Tier 5: > 80%
V145,508589,86.12270125647711,Tier 5: > 80%
V150,508589,86.12270125647711,Tier 5: > 80%
V151,508589,86.12270125647711,Tier 5: > 80%
V152,508589,86.12270125647711,Tier 5: > 80%
V159,508589,86.12270125647711,Tier 5: > 80%
V160,508589,86.12270125647711,Tier 5: > 80%
V164,508589,86.12270125647711,Tier 5: > 80%
V166,508589,86.12270125647711,Tier 5: > 80%
V144,508589,86.12270125647711,Tier 5: > 80%
V338,508189,86.05496664070174,Tier 5: > 80%
V329,508189,86.05496664070174,Tier 5: > 80%
V339,508189,86.05496664070174,Tier 5: > 80%
